komentar,like,waktu,komentar_clean,sentimen
iya juga 😭,1,2026-03-13 18:13:30 UTC,iya,netral
semoga selalu dalam lindunganNya🥺,27,2026-03-13 17:58:34 UTC,semoga lindungannya,positif
Astaghfirullah kasian,0,2026-03-13 18:00:11 UTC,astaghfirullah kasian,netral
Takut bgt skrg tinggal di indo🥺,70,2026-03-13 19:33:01 UTC,takut bgt skrg tinggal indo,netral
ya ampun kasian bgt lho..semoga membaik,68,2026-03-13 21:21:47 UTC,ya ampun kasian bgt lhosemoga membaik,positif
padahal hidup damai enak bngt tenang ga mikirin apa apaan,84,2026-03-13 19:38:19 UTC,hidup damai enak bngt tenang ga mikirin,netral
ya allah ya robbi moga baik2 aja,9,2026-03-13 17:47:59 UTC,ya allah ya robbi moga aja,netral
saya sampe nangis kak nonton video ini. ngga kebayang panas dan sakitnya kaya gimana,1,2026-03-13 17:59:35 UTC,sampe nangis kak nonton video ngga kebayang panas sakitnya kaya gimana,netral
Ya Allah.semoga selamat .,7,2026-03-13 21:01:09 UTC,ya allahsemoga selamat,positif
Aamiin 🤲🤲🤲,0,2026-03-13 21:06:49 UTC,aamiin,positif
ya Allah jauh kan la hamba dari orang yg mau berniatan jahat sama hamba lindungi hamba ya Allah dmana pun hamba berada amin ya rabb,9,2026-03-13 18:46:19 UTC,ya allah la hamba orang yg berniatan jahat hamba lindungi hamba ya allah dmana hamba amin ya rabb,positif
Aamiin,0,2026-03-13 18:49:53 UTC,aamiin,positif
"apapun alasanya ,moga cpt ketangkep amin ,bicara baik2",87,2026-03-13 20:10:36 UTC,apapun alasanya moga cpt ketangkep amin bicara,positif
yaallah maafkan kesalahan kami dan jauhkan kami dari segala macam mara bahaya dan kejahatan 🥺🤲🙏🏻,15,2026-03-13 20:01:59 UTC,yaallah maafkan kesalahan jauhkan mara bahaya kejahatan,positif
Bismillahirrahmanirrahim Alhamdulillah Allahumma sholli ala Muhammad wa ala Ali Muhammad Allahumma Yassir Wala tu'assir Aamiin aamiin yaa rabbal Alaamiin,0,2026-03-13 20:05:52 UTC,bismillahirrahmanirrahim alhamdulillah allahumma sholli ala muhammad wa ala ali muhammad allahumma yassir wala tuassir aamiin aamiin yaa rabbal alaamiin,positif
ya Allah jauhkanlah hamba dan orang orang sekitar hamba dari musibah seperti ini🥺,33,2026-03-13 21:43:29 UTC,ya allah jauhkanlah hamba orang orang hamba musibah,netral
Amiin,0,2026-03-13 21:46:31 UTC,amiin,netral
"astaghfirullah, apa si maksudnya begitu dia",53,2026-03-13 20:34:44 UTC,astaghfirullah si maksudnya,netral
ya allah jauhkan hamba dan kluarga hamba dr org2 jahat🤲🏻🤲🏻,67,2026-03-13 22:51:37 UTC,ya allah jauhkan hamba kluarga hamba dr org jahat,negatif
"ya Allah jauhkan orang2 tersayangku dari musibah seperti ini ,smoga bapaknya selalu diberi kekuatan",66,2026-03-13 22:38:26 UTC,ya allah jauhkan orang tersayangku musibah smoga bapaknya kekuatan,positif
ya Alloh lindungilah kami semua dari segala marabahaya,10,2026-03-14 05:01:04 UTC,ya alloh lindungilah marabahaya,positif
ya Allah lindungilah hamba dri apapun bencana itu dan keluarga hamba ya Allah,50,2026-03-13 22:09:17 UTC,ya allah lindungilah hamba dri apapun bencana keluarga hamba ya allah,positif
"semoga abang ini baik"" saja Amiiin🙏🙏🙏",50,2026-03-13 18:28:12 UTC,semoga abang amiiin,positif
"Gaes bantu doa Abang nya ya. Semoga lekas sembuh sehat seperti sedia kala. Aamiin yarabbal alaamiin, Aamiin Allahumma Aamiin",74,2026-03-13 21:56:06 UTC,gaes bantu doa abang nya ya semoga lekas sembuh sehat sedia aamiin yarabbal alaamiin aamiin allahumma aamiin,positif
ya Allah semoga mas nya lekas sembuh dan kita semua di jauhkan dari mara bahaya Aamiin 🤲🤲,18,2026-03-13 17:48:23 UTC,ya allah semoga mas nya lekas sembuh jauhkan mara bahaya aamiin,positif
aamiin,0,2026-03-13 17:58:46 UTC,aamiin,positif
ya allah semoga baik2 aja mas nya🤲🤲🤲🤲,46,2026-03-13 18:05:45 UTC,ya allah semoga aja mas nya,positif
"pentingnya mentauladani baginda rosul untuk memperkuat kerukunan antar sesama, semoga hati kita semua dijauhkan dri rasa iri dan dengki amiin",17,2026-03-13 21:15:43 UTC,mentauladani baginda rosul memperkuat kerukunan semoga hati dijauhkan dri iri dengki amiin,positif
Aamin,0,2026-03-13 21:18:03 UTC,aamin,positif
ya Aalloh beri kesembuhan,13,2026-03-14 23:00:40 UTC,ya aalloh kesembuhan,positif
Aalloh? Apa itu,0,2026-03-14 23:24:33 UTC,aalloh,netral
"ya Allah pulang kerja cape cape 😭,semoga Allah selalu lindungi keluargaku dimanapun berada🤲",70,2026-03-13 20:46:53 UTC,ya allah pulang kerja cape cape semoga allah lindungi keluargaku dimanapun,positif
Tuhan tolong,6,2026-03-13 20:43:17 UTC,tuhan tolong,netral
Tuhan Yesus tolong😥😥😥😥😥😥😥,0,2026-03-13 20:47:35 UTC,tuhan yesus tolong,netral
staysafe ya gaes pake helm kaca nya jangan lupa di tutup untuk antisipasi hal hal yang tidak di ingin kan,7,2026-03-13 18:36:42 UTC,staysafe ya gaes pake helm kaca nya lupa tutup antisipasi,netral
"betul bgt aku malah KLO pake helm kaca nya sllu d tutup ,karena kadang debu jalan tu suka masuk mata",1,2026-03-13 18:41:14 UTC,bgt klo pake helm kaca nya sllu d tutup kadang debu jalan tu suka masuk mata,netral
"Tuhan..
lindungi lah orang orang jujur di negara ini.",43,2026-03-13 18:47:04 UTC,tuhan lindungi orang orang jujur negara,positif
"astaghfirullah,,, ya Allah ya Robbi lindungilah diriku & keluarga ku dr segala mara bahaya,, 🤲🏻",57,2026-03-13 18:03:46 UTC,astaghfirullah ya allah ya robbi lindungilah diriku keluarga ku dr mara bahaya,positif
"ya Allah bulan puasa , malam lailatul qadar bukan berlomba"" mencari amal baik , ya Allah jauhkan hamba dari manusia"" jahat dan dzolim, bimbing hamba selalu dalam kebaikan . lindungi hamba selalu ya Robb . Aamiin ya Allah",66,2026-03-13 18:45:28 UTC,ya allah puasa malam lailatul qadar berlomba mencari amal ya allah jauhkan hamba manusia jahat dzolim bimbing hamba kebaikan lindungi hamba ya robb aamiin ya allah,positif
Ya Allah sehatkan kembali seperti semula 🤲,40,2026-03-13 21:16:47 UTC,ya allah sehatkan,positif
"Smoga kita di jauhkan dr marabahaya, smoga lekas sembuh aamiin",53,2026-03-13 19:29:16 UTC,smoga jauhkan dr marabahaya smoga lekas sembuh aamiin,positif
"ya Allah jauhkan la hamba dari mara bahaya seperti ini ya Allah, aamin🤲🏻",66,2026-03-13 18:17:11 UTC,ya allah jauhkan la hamba mara bahaya ya allah aamin,positif
knp si org org,38,2026-03-13 17:54:52 UTC,knp si org org,netral
ya Allah jauhkan kluarga hamba dan hamba dari org2 jahat ya Allah 🤲,61,2026-03-13 22:57:35 UTC,ya allah jauhkan kluarga hamba hamba org jahat ya allah,negatif
ya allah semoga keluargaKu Dan Suami Ku di Lindungi Allah Subhanallah Wata'ala🤲,37,2026-03-13 21:04:01 UTC,ya allah semoga keluargaku suami ku lindungi allah subhanallah wataala,positif
ya Allah jauhkanlah hamba dan keluarga hamba mu ini dari musibah seperti in ya Allah,63,2026-03-13 21:35:54 UTC,ya allah jauhkanlah hamba keluarga hamba mu musibah in ya allah,netral
"astagfirulloh, semoga orangnya baik2 saja ya",35,2026-03-13 18:01:04 UTC,astagfirulloh semoga orangnya ya,positif
semoga kita dan anak cucu kita dijauhkan dari hal2 buruk ya allah amin allahuma amin🤲🤲,84,2026-03-13 20:17:23 UTC,semoga anak cucu dijauhkan buruk ya allah amin allahuma amin,positif
astagfirulloh,48,2026-03-13 17:16:30 UTC,astagfirulloh,netral
ya allah semoga lekas sembuh,61,2026-03-13 17:39:35 UTC,ya allah semoga lekas sembuh,positif
"semoga cepet pulih mas nya ,aamiin",34,2026-03-13 21:48:01 UTC,semoga cepet pulih mas nya aamiin,positif
"@sylove: kasian bangettt, please jadi orang jangan jahat dong. hidup damai aja please",34,2026-03-13 19:02:12 UTC,kasian bangettt please orang jahat hidup damai aja please,negatif
Tuhan kumohon lindungi aku dimana pun berada,7,2026-03-13 22:44:42 UTC,tuhan kumohon lindungi dimana,positif
aamiin 🤲,0,2026-03-13 22:48:20 UTC,aamiin,positif
"Ya Allah jauhkan dr orang orang jahat,berilah kesemebuhan untuk masnya Aamiin🤲🤲",33,2026-03-13 22:51:03 UTC,ya allah jauhkan dr orang orang jahatberilah kesemebuhan masnya aamiin,positif
semoga lekas tertangkap,32,2026-03-13 19:20:23 UTC,semoga lekas tertangkap,positif
ya Allah ya Tuhanku jagalah kami dari org org jahat🙏🏻,32,2026-03-13 18:18:56 UTC,ya allah ya tuhanku jagalah org org jahat,negatif
Kalau sampai gak dapat artinya apa,44,2026-03-13 19:04:03 UTC,gak,netral
ya Allah sembuhkan lah orang yang ada di video ini amin ya rabbal alamin ya Allah,30,2026-03-13 20:26:28 UTC,ya allah sembuhkan orang video amin ya rabbal alamin ya allah,positif
Astagfirullah,30,2026-03-13 19:32:38 UTC,astagfirullah,netral
ya allah jauhkan aku dari musibah ini🥺,30,2026-03-13 19:20:43 UTC,ya allah jauhkan musibah,netral
sallimnaa yaAllah.. aamiin 🤲,30,2026-03-13 17:50:52 UTC,sallimnaa yaallah aamiin,positif
"ya Allah semoga baik"" saja",42,2026-03-13 17:48:49 UTC,ya allah semoga,positif
semoga lekas membaik turut prihatin 🙏,29,2026-03-13 19:59:43 UTC,semoga lekas membaik prihatin,positif
"ya Allah tolonglah lindungi orang"" baik dari manusia""dzolim lainnya aamiin",41,2026-03-13 18:18:26 UTC,ya allah tolonglah lindungi orang manusiadzolim aamiin,positif
yaAllah semoga segera dapat pertolongan yg tepat,28,2026-03-13 19:43:45 UTC,yaallah semoga pertolongan yg,positif
"yaallahh lindungilah kami dari orang"" jahat.. Amin 🤲",40,2026-03-13 17:53:26 UTC,yaallahh lindungilah orang jahat amin,positif
Semoga lekas membaik mas nya 😭,27,2026-03-13 21:00:20 UTC,semoga lekas membaik mas nya,positif
ya Allah.. semoga lekas sembuh bang..,27,2026-03-13 19:43:37 UTC,ya allah semoga lekas sembuh bang,positif
kebenaran di bumi ini adalah tantangan bagi manusia,27,2026-03-13 18:48:47 UTC,kebenaran bumi tantangan manusia,positif
ya Allah ya rab berilah ketabahan sodaraku ini & berilah kesembuhan seperti sedikala aammiin Allah,38,2026-03-13 19:19:05 UTC,ya allah ya rab berilah ketabahan sodaraku berilah kesembuhan sedikala aammiin allah,positif
"Guys seburuk apapun masalalu kalian,please jadilah orang baik minimal ga merugikan siapapun 🙏",25,2026-03-13 18:45:01 UTC,guys seburuk apapun masalalu kalianplease orang minimal ga merugikan,netral
"ya Allah jauhkanlah kami dari hal"",buruk",37,2026-03-13 17:40:28 UTC,ya allah jauhkanlah halburuk,netral
tolong ya jd orang jangan jahat²😭,24,2026-03-13 19:37:03 UTC,tolong ya jd orang jahat,negatif
Astagfirullah,36,2026-03-13 17:30:04 UTC,astagfirullah,netral
ya Allah sembuhkan lah Abang ini,23,2026-03-13 22:28:07 UTC,ya allah sembuhkan abang,positif
"yaa allah kesian sekali,semoga kita semua selalu dlam lindungan allah🤲🏻",23,2026-03-13 22:24:03 UTC,yaa allah kesian sekalisemoga dlam lindungan allah,positif
ya Allah lindungilah anakku dari segala mara bahaya,23,2026-03-13 21:58:06 UTC,ya allah lindungilah anakku mara bahaya,positif
ya allah kasian jgn jahat donk jadi orang plis,23,2026-03-13 21:53:42 UTC,ya allah kasian jgn jahat donk orang plis,negatif
semoga Allah melindungi org2 yg benar..🤲🤲🤲,23,2026-03-13 21:28:20 UTC,semoga allah melindungi org yg,positif
"novel yg 1 ini yg ke 2
semoga d berikan keselamatan dan kesehatan.",23,2026-03-13 20:29:36 UTC,novel yg yg semoga d keselamatan kesehatan,positif
ya Allah smoga lekas sembuh ya Aamiin,23,2026-03-13 19:03:55 UTC,ya allah smoga lekas sembuh ya aamiin,positif
komennya pada ga nyambung,23,2026-03-13 18:58:37 UTC,komennya ga nyambung,netral
"Y Allah semoga bpknya selamat dan bisa sehat kmbali aminn,,,,",35,2026-03-13 19:14:37 UTC,y allah semoga bpknya selamat sehat kmbali aminn,positif
"Apapun masalahnya, semoga bisa sembuh seperti sedia kala...",35,2026-03-13 17:56:50 UTC,apapun semoga sembuh sedia,positif
"ya Allah jauhkan anak,,ku dari musibah",22,2026-03-13 22:14:40 UTC,ya allah jauhkan anakku musibah,netral
ya allah..,22,2026-03-13 19:09:20 UTC,ya allah,netral
yaa Alloh Selamat kan keluarga kami jauh kan dari orang jahat yaa Alloh yaa Robb,34,2026-03-13 21:15:21 UTC,yaa alloh selamat keluarga orang jahat yaa alloh yaa robb,positif
yallah,21,2026-03-13 22:18:43 UTC,yallah,netral
"ya Allah Engkau mahakuasa atas segala yg dilangit dn didunia, lindungi mrk2 mnusia baik dan membela kebenaran dan menegakkan keadilan didunia ini.",21,2026-03-13 19:34:31 UTC,ya allah engkau mahakuasa yg dilangit dn didunia lindungi mrk mnusia membela kebenaran menegakkan keadilan didunia,positif
Semoga lekas sembuh mas nya🙏,21,2026-03-13 19:26:19 UTC,semoga lekas sembuh mas nya,positif
astaghfirullah,21,2026-03-13 18:50:01 UTC,astaghfirullah,netral
"Ya Allah...... Lindungi keluarga ku dr mata"" jahat, dr org iri & syirik. Sesungguhnya hanya KepadaMu hamba Berlindung 🤲",32,2026-03-13 20:37:01 UTC,ya allah lindungi keluarga ku dr mata jahat dr org iri syirik sesungguhnya kepadamu hamba berlindung,positif
"ya allah semoag bisa d obati sembuh pulih kembali pak ,",32,2026-03-13 18:14:32 UTC,ya allah semoag d obati sembuh pulih,positif
yaallah jauhkan lah keluarga kami dari org org jahat aminnn🥺,19,2026-03-13 22:57:15 UTC,yaallah jauhkan keluarga org org jahat aminnn,positif
bismilah..ya alaah sdmbuhkn org yg kena musibah ini berikan kesabaran,18,2026-03-14 22:36:28 UTC,bismilahya alaah sdmbuhkn org yg kena musibah kesabaran,positif
lekas membaik pak 🥺,18,2026-03-13 23:41:11 UTC,lekas membaik,positif
"Yaa Allah, turunkan hidayahMu kepada pemimpin kami",18,2026-03-13 20:19:58 UTC,yaa allah turunkan hidayahmu pemimpin,netral
sudah ditahap gatau mau komen apa,18,2026-03-13 19:09:34 UTC,ditahap gatau komen,netral
Ya Allah...lindungi keluargaku suamiku ayah ibuku dan yang lainnya dari segala musibah dan jahat nya manusia 🤲🏻,17,2026-03-14 04:23:32 UTC,ya allahlindungi keluargaku suamiku ayah ibuku musibah jahat nya manusia,positif
semoga Allah SWT melindungi orang2 dalam kebenaran,17,2026-03-13 20:33:00 UTC,semoga allah swt melindungi orang kebenaran,positif
Ya Alloh..pulihkan kasehatn abangnya..Aamiin🤲🤲🤲,17,2026-03-13 19:50:20 UTC,ya allohpulihkan kasehatn abangnyaaamiin,positif
Sedih ya tinggal di indonesia,17,2026-03-13 19:12:57 UTC,sedih ya tinggal indonesia,netral
ya Allah pak semoga lekas membaik,17,2026-03-13 18:53:02 UTC,ya allah semoga lekas membaik,positif
Astaghfirullah,17,2026-03-13 17:46:14 UTC,astaghfirullah,netral
ya Allah.,16,2026-03-14 23:32:26 UTC,ya allah,netral
ya allah lindungi anak-anak ku dan keluarga ku di mana pun berada,16,2026-03-14 00:37:34 UTC,ya allah lindungi anakanak ku keluarga ku,positif
ya Allah lindungilah dia ya Allah 🥹,16,2026-03-14 00:08:27 UTC,ya allah lindungilah ya allah,positif
astagfirullohal adim....bismillah yg bekerja jujur n baik slalu dlm li dungan Alloh,16,2026-03-13 23:10:49 UTC,astagfirullohal adimbismillah yg jujur n slalu dlm li dungan alloh,netral
ya Allah lindungilah sllu keluarga ku dri orang² yg jahat ya Allah,16,2026-03-13 23:02:13 UTC,ya allah lindungilah sllu keluarga ku dri orang yg jahat ya allah,positif
orang orang sekarang pada kenapa si ya Allah,16,2026-03-13 22:20:22 UTC,orang orang si ya allah,netral
ya Tuhan selamatkan Bapak ini🥰,16,2026-03-13 22:04:41 UTC,ya tuhan selamatkan,positif
yaallah kasian smoga lekas mmbaik,16,2026-03-13 18:59:34 UTC,yaallah kasian smoga lekas mmbaik,positif
astaghfirullah,16,2026-03-13 18:33:00 UTC,astaghfirullah,netral
astaghfirullah 😭😭 ya Allah lindungi kami dari kejahatan diri sendiri maupun kejahatan dari orang lain,27,2026-03-14 04:18:23 UTC,astaghfirullah ya allah lindungi kejahatan kejahatan orang,positif
ya allah lindungin org yg divideo ini🥺🙏,15,2026-03-14 01:31:55 UTC,ya allah lindungin org yg divideo,positif
"Semoga di pulihkan kesehatannya bng ,Tuhan Tolong dia 🙏",15,2026-03-14 00:24:53 UTC,semoga pulihkan kesehatannya bng tuhan tolong,positif
diLindungi dn disembuhkan Aamin aamin aamin,15,2026-03-13 23:41:09 UTC,dilindungi dn disembuhkan aamin aamin aamin,positif
semoga ngga kenapa kenapa ya bangg,15,2026-03-13 23:02:02 UTC,semoga ngga ya bangg,positif
pertanyaannya cuma 1. lagi bahas kasus apa😌,62,2026-03-13 19:56:21 UTC,pertanyaannya bahas,netral
Turut prihatin,15,2026-03-13 21:12:34 UTC,prihatin,netral
ya Allah jagalah dan jauhkanlah keluarga ku dar marabahaya juga hal seperti ini,15,2026-03-13 19:38:45 UTC,ya allah jagalah jauhkanlah keluarga ku dar marabahaya,netral
"hanya mengingatkan jika bersepeda motor.
gunakan helm yang berkaca. dan selalu gunakan kaca helm dengan benar. untuk melindungi bagian wajah dari hal-hal yang tidak di inginkan.🙏🏻",13,2026-03-14 23:15:18 UTC,bersepeda motor helm berkaca kaca helm melindungi wajah halhal,positif
ya allah ya rabbb,26,2026-03-13 17:21:44 UTC,ya allah ya rabbb,netral
Ya Allah lindungilah Bapak ini,14,2026-03-13 22:44:22 UTC,ya allah lindungilah,positif
Ya Allah,14,2026-03-13 22:29:30 UTC,ya allah,netral
Ya Tuhan semoga bisa disembuhkan hambamu ini Ya Allahku Amin 🙏😌,14,2026-03-13 19:13:50 UTC,ya tuhan semoga disembuhkan hambamu ya allahku amin,positif
YaAllah padahal hidup damai itu enak loh...,13,2026-03-14 23:38:21 UTC,yaallah hidup damai enak loh,netral
"jauhkan q, suami, anak-anak ku serta keluarga ku dr marah bahaya ya Allah",13,2026-03-14 00:29:18 UTC,jauhkan q suami anakanak ku keluarga ku dr marah bahaya ya allah,negatif
"ya Allah..semoga semuanya baik baik saja yaa
.",13,2026-03-13 20:44:42 UTC,ya allahsemoga yaa,positif
Ya Allah,13,2026-03-13 18:12:46 UTC,ya allah,netral
ya Allah lindungi orang² baik di Indonesia tercinta ini,12,2026-03-13 22:44:51 UTC,ya allah lindungi orang indonesia tercinta,positif
astaghfirullah,12,2026-03-13 21:30:34 UTC,astaghfirullah,netral
ya Allah lekas sembuh ya bang,12,2026-03-13 20:21:59 UTC,ya allah lekas sembuh ya bang,positif
Tolong saudara kami Ya Allah,12,2026-03-13 19:07:03 UTC,tolong saudara ya allah,netral
"kyaknya gue yg banyak diem ini gak terlalu buruk untuk hidup jadi lebih damai😭 males adu argumen, males ladenin debatan orang lain, males ikut campur yg bukan urusan gue, males memperjuangkan hak yg bukan hak gue sendiri😭 Berangkat-kerja-makan-pulang-tidur. semoga allah lindungi kita semua gesss😌",11,2026-03-14 04:07:35 UTC,kyaknya gue yg diem gak buruk hidup damai males adu argumen males ladenin debatan orang males campur yg urusan gue males memperjuangkan hak yg hak gue berangkatkerjamakanpulangtidur semoga allah lindungi gesss,positif
ya Tuhan semoga secepatnya diberikan kesembuhan amin 😇,11,2026-03-14 00:02:07 UTC,ya tuhan semoga secepatnya kesembuhan amin,positif
Yallah,11,2026-03-13 22:56:24 UTC,yallah,netral
"Astaghfirullah, Ya Allah",11,2026-03-13 22:04:54 UTC,astaghfirullah ya allah,netral
Semoga ada pertolongan ya tuhan sembuhkanlah dia,11,2026-03-13 22:01:48 UTC,semoga pertolongan ya tuhan sembuhkanlah,positif
Ya allah,11,2026-03-13 20:17:43 UTC,ya allah,netral
semoga cepat sembuh ya,11,2026-03-13 20:14:54 UTC,semoga cepat sembuh ya,positif
habis ngurus kasus apa bapak ini?? semoga sehat selalu,11,2026-03-13 19:09:35 UTC,habis ngurus semoga sehat,positif
"ya Allah ya Rabb,semoga cpt sembuh",11,2026-03-13 18:43:54 UTC,ya allah ya rabbsemoga cpt sembuh,positif
yaallah jauhkan hamba dr org² yg ingin berniat jahat,11,2026-03-13 18:06:09 UTC,yaallah jauhkan hamba dr org yg berniat jahat,negatif
bisa nggak klo ngasih penjelasan jgn di tengah layar gitu..😭ganggu,22,2026-03-13 20:51:31 UTC,nggak klo ngasih penjelasan jgn layar gituganggu,netral
"ya Allah jauhkn lah Anak2 ku dari sgla musibah dn bahaya d jln dan d mn pun brda,,Aamiin🤲
moga s Abang CPT sehat kmbali yah..🤲🙏",22,2026-03-13 18:49:22 UTC,ya allah jauhkn anak ku sgla musibah dn bahaya d jln d mn brdaaamiin moga s abang cpt sehat kmbali yah,positif
Astaghfirullah,22,2026-03-13 17:26:15 UTC,astaghfirullah,netral
yaa allah lindungin abg ini.. semoga cepat sehat,10,2026-03-14 05:04:53 UTC,yaa allah lindungin abg semoga cepat sehat,positif
tujuannya apaan si?,10,2026-03-14 01:53:21 UTC,tujuannya si,netral
semoga cepat ditolong,10,2026-03-13 22:32:51 UTC,semoga cepat ditolong,positif
semoga lekas sembuh pak,10,2026-03-13 22:02:11 UTC,semoga lekas sembuh,positif
"ya allah semoga tidak kenapa2, aamiin",10,2026-03-13 20:03:41 UTC,ya allah semoga aamiin,positif
YaAllah:(,10,2026-03-13 19:37:34 UTC,yaallah,netral
Yaa alloh lindungi hambamu dan semua keluarga ku dari segala mara bahaya dan musibah Aamin 🤲🤲🤲,10,2026-03-13 18:46:18 UTC,yaa alloh lindungi hambamu keluarga ku mara bahaya musibah aamin,positif
maksud gw tuh kenapa anjir,10,2026-03-13 18:35:27 UTC,maksud gw tuh anjir,netral
Ya Allah,10,2026-03-13 17:46:36 UTC,ya allah,netral
astaghfirulloh,10,2026-03-13 17:31:41 UTC,astaghfirulloh,netral
jadi orang jangan jahat jahat pls..,9,2026-03-14 23:36:48 UTC,orang jahat jahat pls,negatif
lindungilah orang-orang baik di negeri ini ya Allah 😭😭😭,9,2026-03-14 05:04:02 UTC,lindungilah orangorang negeri ya allah,positif
"YA Allah 😭semoga kita slalu dlm lindungan Allah Aamiin,,semoga kakanya lekas membaik Aamiin",9,2026-03-14 04:23:58 UTC,ya allah semoga slalu dlm lindungan allah aamiinsemoga kakanya lekas membaik aamiin,positif
semoga lekas sembuh dan baik baik saja.,9,2026-03-14 03:06:37 UTC,semoga lekas sembuh,positif
"jadi org yg bermanfaat bagi org banyak ada aja gangguan nya , semoga baik2 aja buat korban",9,2026-03-14 00:56:18 UTC,org yg bermanfaat org aja gangguan nya semoga aja korban,positif
tetaplah jd orang baik! jaga sikap jaga lisan! smg kita semua dijauhkan dari orang² dzolim.🤲🤲🙏,9,2026-03-13 22:33:56 UTC,tetaplah jd orang jaga sikap jaga lisan smg dijauhkan orang dzolim,netral
Astaghfirullah,9,2026-03-13 22:11:48 UTC,astaghfirullah,netral
Yaa Allah jaminkan keselamatan Dunia dan akhirat bagi org² yg jujur dan amanah. 🤲🤲🤲,9,2026-03-13 20:40:40 UTC,yaa allah jaminkan keselamatan dunia akhirat org yg jujur amanah,positif
"dari yang sudah sudah, gaada jaminan",9,2026-03-13 19:19:25 UTC,gaada jaminan,positif
Ya allah semoga baik2 aja,9,2026-03-13 19:13:03 UTC,ya allah semoga aja,positif
kapan yah hidup aman di negara sendiri..... :((,9,2026-03-13 18:58:39 UTC,yah hidup aman negara,netral
Salemba mananya ya ini?,8,2026-03-13 18:34:32 UTC,salemba mananya ya,netral
ya Allah ya Rabb jauhkan hamba dan keluarga hamba dari musibah dari marabahaya apapun & dimanapun seperti ini Aamiin Aamiin Ya Mujibassailin 🤲😇,8,2026-03-14 04:21:51 UTC,ya allah ya rabb jauhkan hamba keluarga hamba musibah marabahaya apapun dimanapun aamiin aamiin ya mujibassailin,positif
"Ya Allah tolonglah bpk ini, sembuhkan dan selamatkan ya Allah",8,2026-03-14 02:53:15 UTC,ya allah tolonglah bpk sembuhkan selamatkan ya allah,positif
Please jangan jahat jahat dong jadi orang 😭,8,2026-03-14 00:54:16 UTC,please jahat jahat orang,negatif
Ya allah ya rabb,8,2026-03-13 23:17:43 UTC,ya allah ya rabb,netral
mudah²an pihak berwajib bisa bekerja dgn sungguh² dlm mengungkap peristiwa ini,8,2026-03-13 22:53:17 UTC,mudahan berwajib dgn sungguh dlm mengungkap peristiwa,netral
ya Allah,8,2026-03-13 21:28:39 UTC,ya allah,netral
terimakasih orang baik sudah menolong ya allah kasihan,8,2026-03-13 19:49:09 UTC,terimakasih orang menolong ya allah kasihan,netral
ya allah lindungilah keluarga dan sahabat2ku dr segala marabahaya🤲,8,2026-03-13 19:32:38 UTC,ya allah lindungilah keluarga sahabatku dr marabahaya,positif
"ya Alloh kasihan bget, semoga cepet sembuh ,banyak rezeki nya",8,2026-03-13 19:32:06 UTC,ya alloh kasihan bget semoga cepet sembuh rezeki nya,positif
Semoga lekas sembuh bapak,8,2026-03-13 19:20:43 UTC,semoga lekas sembuh,positif
Hasbullahnallah Wanikmal Wakil Nikmal Maula Wanikmannasir 🤲,8,2026-03-13 19:02:09 UTC,hasbullahnallah wanikmal wakil nikmal maula wanikmannasir,netral
Astagfirullah,8,2026-03-13 18:22:54 UTC,astagfirullah,netral
semoga kita semua di jauhkan dari hal² yg tidak di inginkan,19,2026-03-13 19:16:05 UTC,semoga jauhkan yg,positif
yaAllah semoga lekas sembuh,19,2026-03-13 18:05:35 UTC,yaallah semoga lekas sembuh,positif
Ya Allah lindungilah keluarga dari segala keburukan 😢,7,2026-03-14 22:43:40 UTC,ya allah lindungilah keluarga keburukan,positif
ya alloh mga cepet sembuh amiiiin,7,2026-03-14 22:06:06 UTC,ya alloh mga cepet sembuh amiiiin,positif
Up terus. Semoga lekas membaik dan mendapatkan keadilan kk semangatt ya,7,2026-03-14 21:07:17 UTC,up semoga lekas membaik keadilan kk semangatt ya,positif
Ya Allah jauhkanlah kami dari musibah,7,2026-03-14 05:14:33 UTC,ya allah jauhkanlah musibah,netral
Ya Allah Lindungilah aku dan kita semua 🤲,7,2026-03-14 04:59:11 UTC,ya allah lindungilah,positif
yaallah,7,2026-03-14 03:44:56 UTC,yaallah,netral
yaallah jangan jahat2 dong jadi orangg,7,2026-03-14 01:37:33 UTC,yaallah jahat orangg,negatif
Ya siapa lagi,7,2026-03-14 00:27:01 UTC,ya,netral
semoga kasus ini bisa Beres,7,2026-03-13 23:55:59 UTC,semoga beres,positif
Astagfirulloh,7,2026-03-13 23:54:56 UTC,astagfirulloh,netral
ya Allah semoga tdk apa apa,7,2026-03-13 23:05:34 UTC,ya allah semoga tdk,positif
Ya Allah,7,2026-03-13 23:02:35 UTC,ya allah,netral
Astagfirullah,7,2026-03-13 22:46:54 UTC,astagfirullah,netral
astaghfirullah,7,2026-03-13 21:48:48 UTC,astaghfirullah,netral
"@sylove:kasian bangettt, please jadi orang jangan jahat dong. hidup damai aja please",7,2026-03-13 21:32:12 UTC,kasian bangettt please orang jahat hidup damai aja please,negatif
astaghfirullah,7,2026-03-13 21:22:06 UTC,astaghfirullah,netral
Semoga lekas membaik 🥺,7,2026-03-13 21:19:59 UTC,semoga lekas membaik,positif
ya Allah lindungilah semua hambah mu yg berada di mn pun,7,2026-03-13 21:13:21 UTC,ya allah lindungilah hambah mu yg mn,positif
